Time	B2	B3	B4	B5	B6	B7	C2	C3	C4	C5	C6	C7	D2	D3	D4	D5	D6	D7	E2	E3	E4	E5	E6	E7	F2	F3	F4
23:58:17	?????	?????	?????	?????	?????	?????	?????	?????	?????	?????	?????	?????	-10	-10	-7	-9	11	7	21	19	19	26	30	29	0	-10	9
24:08:17	?????	?????	?????	?????	?????	?????	?????	?????	?????	?????	?????	?????	-7	8	-2	-1	14	20	19	1	13	27	37	40	-1	10	-9
24:18:17	?????	?????	?????	?????	?????	?????	?????	?????	?????	?????	?????	?????	0	3	13	13	16	13	22	15	34	29	27	46	-7	9	-3
24:28:17	?????	?????	?????	?????	?????	?????	?????	?????	?????	?????	?????	?????	-2	7	4	5	18	13	24	30	6	41	35	36	-6	1	6
24:38:17	?????	?????	?????	?????	?????	?????	?????	?????	?????	?????	?????	?????	-9	-8	-7	-6	20	11	33	21	25	33	28	37	8	-6	-3
24:48:17	?????	?????	?????	?????	?????	?????	?????	?????	?????	?????	?????	?????	-2	4	-3	-3	11	19	16	5	9	24	37	46	5	3	-7
24:58:17	?????	?????	?????	?????	?????	?????	?????	?????	?????	?????	?????	?????	-9	-7	11	1	13	11	22	33	23	36	25	50	2	-4	2
25:08:17	?????	?????	?????	?????	?????	?????	?????	?????	?????	?????	?????	?????	6	0	17	12	8	14	24	16	41	34	32	32	3	6	-9
25:18:17	?????	?????	?????	?????	?????	?????	?????	?????	?????	?????	?????	?????	13	-1	-1	7	17	19	32	10	23	23	28	44	1	-2	1
25:28:17	?????	?????	?????	?????	?????	?????	?????	?????	?????	?????	?????	?????	0	6	0	5	19	20	35	23	12	27	38	34	5	-2	-3
25:38:17	?????	?????	?????	?????	?????	?????	?????	?????	?????	?????	?????	?????	-1	-6	3	2	-1	1	23	17	9	33	48	22	-5	7	-2
25:48:17	?????	?????	?????	?????	?????	?????	?????	?????	?????	?????	?????	?????	2	3	-1	9	28	19	25	18	19	29	26	35	7	-9	2
25:58:17	?????	?????	?????	?????	?????	?????	?????	?????	?????	?????	?????	?????	12	13	18	3	20	11	21	32	28	34	41	47	5	-1	-3
26:08:17	?????	?????	?????	?????	?????	?????	?????	?????	?????	?????	?????	?????	-3	-4	9	6	8	16	17	20	20	26	49	46	-11	2	9
26:18:17	?????	?????	?????	?????	?????	?????	?????	?????	?????	?????	?????	?????	-15	-8	3	3	12	5	19	13	4	29	24	21	7	-5	-1
26:28:17	?????	?????	?????	?????	?????	?????	?????	?????	?????	?????	?????	?????	-10	-5	-8	-8	17	15	27	7	13	24	42	26	-2	8	-6
26:38:17	?????	?????	?????	?????	?????	?????	?????	?????	?????	?????	?????	?????	8	5	7	2	7	11	21	20	19	18	39	44	0	-4	3
26:48:17	?????	?????	?????	?????	?????	?????	?????	?????	?????	?????	?????	?????	4	15	-1	-12	9	12	37	10	19	29	32	45	-7	4	2
26:58:17	?????	?????	?????	?????	?????	?????	?????	?????	?????	?????	?????	?????	9	4	-11	1	5	17	20	23	26	26	36	49	-2	3	0
27:08:17	?????	?????	?????	?????	?????	?????	?????	?????	?????	?????	?????	?????	7	-3	8	5	14	13	26	24	36	20	48	44	-9	7	3
27:18:17	?????	?????	?????	?????	?????	?????	?????	?????	?????	?????	?????	?????	3	-1	11	0	16	11	33	29	23	35	43	49	-6	6	-1
27:28:17	?????	?????	?????	?????	?????	?????	?????	?????	?????	?????	?????	?????	-7	2	-8	-15	5	10	22	15	7	11	35	24	0	1	0
27:38:17	?????	?????	?????	?????	?????	?????	?????	?????	?????	?????	?????	?????	-7	-4	-2	-5	5	10	16	12	20	19	35	37	-1	-8	8
27:48:17	?????	?????	?????	?????	?????	?????	?????	?????	?????	?????	?????	?????	15	23	10	-8	20	26	37	24	16	42	48	37	2	-2	-1
27:58:17	?????	?????	?????	?????	?????	?????	?????	?????	?????	?????	?????	?????	-1	3	-2	-3	9	4	20	16	8	31	37	43	-2	-2	5
28:08:17	?????	?????	?????	?????	?????	?????	?????	?????	?????	?????	?????	?????	-7	0	13	-3	6	12	26	23	18	31	21	23	-3	-3	6
28:18:17	?????	?????	?????	?????	?????	?????	?????	?????	?????	?????	?????	?????	-6	4	4	-3	12	9	22	21	19	35	37	36	6	-6	-1
28:28:17	?????	?????	?????	?????	?????	?????	?????	?????	?????	?????	?????	?????	-3	8	-6	-7	6	7	14	9	6	30	45	37	4	-2	-2
28:38:17	?????	?????	?????	?????	?????	?????	?????	?????	?????	?????	?????	?????	-8	5	13	-14	6	9	29	21	3	30	54	28	-11	6	6
28:48:17	?????	?????	?????	?????	?????	?????	?????	?????	?????	?????	?????	?????	1	0	-4	-6	4	2	23	27	22	28	36	32	-4	3	0
28:58:17	?????	?????	?????	?????	?????	?????	?????	?????	?????	?????	?????	?????	0	2	2	-21	10	10	40	27	31	32	34	41	-6	-1	6
29:08:17	?????	?????	?????	?????	?????	?????	?????	?????	?????	?????	?????	?????	3	-1	-4	-15	3	6	26	5	16	15	30	31	-7	-2	9
29:18:17	?????	?????	?????	?????	?????	?????	?????	?????	?????	?????	?????	?????	0	14	4	11	19	23	26	35	32	39	49	43	-1	1	1
29:28:17	?????	?????	?????	?????	?????	?????	?????	?????	?????	?????	?????	?????	7	-4	1	5	6	24	22	21	7	33	21	25	-1	5	-5
29:38:17	?????	?????	?????	?????	?????	?????	?????	?????	?????	?????	?????	?????	8	3	1	2	11	20	31	28	42	25	27	43	-10	9	0
